index,reviews
1,"utk toko kamera sebesar DOSS, pelayanan chat nya slow respons, order pengiriman instant hr ini sampe besok sore baru dikirim . Kalau bisa di tingkatkan lg pelayanan online"
2,"mantapp gc bggtt"
3,"Pelayanan ramah, baguss barangnya puaass"
4,"JUARA"
5,"pengemasan sangat rapih dan tebal respon CS cepat.Alhamdulillah tidak mengecewakan sudah beli beberapa produk dari doss"
6,"top dosss, performa oke, packing oke"
7,"selalu puas dan tenang belanja di doss mantap"
8,"Kualitas barang bagus, harga sangat kompetitif. pengiriman cepat dan aman. tim CS responsif. Semoga barang awet"
9,"Terima kasih kak, keren ini inovasinya, semoga awet"
10,"Barang bagus dan sesuai deskripsi berfungsi dengan baik"
11,"belum kepasang jatoh dan ilang wkwk"
12,"mendarat dengan selamat, packingnya top buat pengiriman barang elektronik"
13,"Sesuai deskripsi, seller responsif"
14,"pelayanan cepat..barang kualitas bagus"
15,"Kualitas ga di ragukan lagi sih Kemarin file terhapus tapi di backup pakai software asli sony memory file rescue kembali secara utuh banget. Nice highly recomended banget"
16,"Mantap good seller"
17,"Keren. Micnya berfungsi dengan baik. Penggunaan mudah"
18,"Bisa dapet kamera unik satu ini dengan garansi top dari DOSS. Sangat memuaskan!"
19,"mantappp barangnya ori dan segel.. 🤘🏽"
20,"Cakep desain strap PGYTech, dan mudah dioperasikan utk memperpanjang atau memperpendek strap ketika dipakai."
21,"Terima kasih, barang new garansi resmi ya."
22,"Mantapppppp"
23,"Packing oke, barang cepat sampai, dan berfungsi dengan baik"
24,"Ga dapet batre, sesuai deskripsi, venusliv2"
25,"keren.. seller fast respon , barang bagus , packing aman. cocok buat yang suka bermain cahaya warna warni"
26,"Penjual gercep pengiriman cepat"
27,"Barang sesuai, admin oke"
28,"barang nya oke nih, reseller gercep… trs berdungsi dengan baik. terima kasih, sekarang sdh nggak bingung bawa2 micro sd/SD CARD dan dapat tambahan drive buat run aplikasi"
29,"Kamera Canon yang keren dan lengkap"
30,"dibantu oleh mas Dani dan mas Feri dalam pembelian kameranya, sangat friendly dan profesional, thank you! Akhirnya my dream pocket camera sudah di tangan 🥰"
31,"build qualitya oke banget, compartemenya juga luas, asik buat EDC camera bag. soal pelayanan toko udah gk usah di raguin lagi, best of the best 🤝"
32,"paking selalu aman dan profesional, terimakasih semoga awet selalu"
33,"bagus pengiriman cepat, selalu pengalaman terbaik belanja di doss"
34,"benda wajib untuk para hybrid👌🏻"
35,"Terbaik memang ❤️❤️❤️❤️"
36,"garansi 14 hari ganti baru bukan gimmick. adminnya sangat responsif. after salesnya juga bagus banget. sangat bisa diandalkan. thankyou banget doss! next beli kamera lagi. "
37,"Cepat bagus, dan micnya luar biasa suaranya"
38,puas banget
39,pengiriman di bungkus dengan rapi dan respon sangat cepat
40,Terimakasih barang sudah nyampe dan sesuai pesanan.
41,Puas
42,"Kualitas sesuai, seller fast respond"
43,"Barang sesuai gambar,hasil memuaskan dan pengiriman juga cepat"
44,"Seller sangat responsif dan memberikan penjelasan ttg product sangat rinci dan memuaskan.
Sehingga pengalaman berbelanja menjadi lebih menyenangkan untuk admin yang menghan... "
45,"Barang original sesuai deskripsi, seller responsif, pengiriman cepat, paking rapi aman, harga paling oke. Mantaf. Ditunggu kiriman free giiftnya, 👍👍👍"
46,Bagus mantap
47,"pengiriman sangat cepat, packingan rapih dan yang paling senangnya dapat SD card Lexar pulak"
48,"kereen cakeeep.terima kasih banyak ya min."
49,"walaupun ada sedikit drama, tapi saya suka akhir ceritanya.makasih buat doss, semoga semakin maju dan pelayanan jd jauh lebih baik.barangnya suka, bagus, berfungsi normal "
50,barang bagus dan mantap
51,"barang sampai sesuai pesanan, bagus, bisa langsung digunakan, terimakasih"
52,"Barangnya oke. Pengirimannya yang agak lama. Hampir nggak kebawa, jadi harus buru-buru ngejar pesawat ke bandara. Semoga lain kali lebih baik."
53,"FAST respon, pelayanan ramah."
54,"Barang cepat sampai, aman, dan berfungsi dengan baik"
55,"Pokoke marem lah asal belanja neng doss, ora tau kecewa, pelayanane be apik"
56,Kereeeeeen
57,barang sesuai deskripsi.. seller fast respon.. recomended
58,cepat dan baik
59,Aman packagingnya 👍
60,sesuai deskripsi dan cepat sampai.
61,"Barang sampai dengan selamat,  hasil gambar Jernih sekali,
Pelayanan sangat terbaik 🤩"
62,Batrenya nyusul katanya
63,"dos emang keren di tambah dapet memori card ga di foto barang lupa ada di kantor"
64,gokil sih. nggak nyangka bakal terang banget. buat harga segini sih oke punya
65,terima kasih. barang dipacking aman. berfungsi baik
66,barang cepat sampai. berfungsi baik. terima kasih
67,"Packing aman dan respon penjual sangat bagus untuk diskusi sebelum membeli barangnya. Ditunggu freean Battery nya ya min, DOSS TERBAIK..."
68,"Nice banget, audio clear. Aksesoris lengkap"
69,"sudah langganan beli disini, barang bagus sesuai deskripsi. semoga awet"
70,Mantap. Hasil memuaskan
71,"Mantap, kabelnya jos. Yang pasti pelayanannya TOP MARKOTOP.Karena akan dipakai segera dan pengiriman terkendala. Akhirnya dikirim gosend instan tanpa tambahan biaya.Mak... "
72,Semoga awet yak.
73,"Barang selamat sampai tujuan, packing cukup aman"
74,Pengiriman cepat
75,Produk bagus sampe dengan baik mantap
76,barang sesuai deskripsi
77,"Bagus mantap , ternyata batre harus beli lagi ya, terus HDMI beli lagi"
78,bagus mantap terpercaya sukaa barang sipp
79,Mantab👍🏻
80,"Packing Bagus, Barang Oke"
81,beeesstttt
82,DOSS selalu terbaik 🔥 Sampe pake instan langsung gas ke Palembang
83,"doss keren, selalu fast resp, udah 1 minggu lebih pakai, gaada masalah insyallah, mantap"
84,keren kamera nya
85,Sesuai deskripsi. Top!
86,Top
87,Mksh.... barang cepet sampi 👍
88,Mksh.... barang cepet nyampe 👍👍👍
89,Top
90,mantap
91,"baca data hrnya relatif cepat, lbh cepat ketimbang"
92,"barang sesuai pesanan, belum dicoba tapi semoga berfungsi dengan baik"
93,Awalnya barang gak berfungsi. Dikomplain dan langsung ditangani dengan baik. pelayanan admin dan after salesnya keren banget. makasih doss
94,"sesuai pesanan,.. berfungsi dg baik,.. harga terjangkau dibanding toko lain.."
95,lega karna pasanan di kirim dan di packinh dengan aman. next level of cleaning kit kamera
96,"barang asli sesuai diskripsi, seller fast respon"
97,"Pemasangan bisa cepat setelah membaca manual, alat berfungsi dengan baik menjaga kelembaban, user manual informatif, bentuk keren"
98,Kurang Pas di layar Sony ZV E10 Mark II (kurang lebar dan agak ketinggian)
99,Pengiriman lama dan tidak diberikan cleaning kit (tidak sesuai janji).
100,Doss emang mantul
101,"bagus, berfungsi dg baik. pengiriman aman juga."
102,Mantep pelayanannya. Seller ramah respon cepat.
103,ada bintik di dalam
104,"pesanan sudah diterima dengan baik, terima kasih gan 👍🏼👍🏼👍🏼"
105,"layanan seller ramah, barang baru dan bergaransi. packingan dobel buble pack dan dilapis dus lagi selain dus standard kamera, jadi sampai rumah aman dan berfungsi dengan... "
106,garansi tambahan yang bikin tenang kalau amit amit ada kejadian rusak /hilang dengan kamera kita...harganya jg terjangkau...
107,barang oke dan kemasan oke juga dan fitur oke
108,"packing aman dan rapi, barang sampai mulus dan banyak bonus, 😍 mantap bgt doss, jos gandos, semoga setelah upgrade dapat banyak job , dan makin produktif, 🙏amin"
109,Top. Barang ori... Dikasi bonus. Seller gercep. Oke emang DOSS
110,Fast response ! Maaf fotonya udh kebongkar karena memang seburu2 itu… makasih yaa
111,"Seller sangat responsive dan pengiriman cepat. Camera Belum saya coba. semoga barang awet dan memuaskan. Terima kasih"
112,Pelayanan baik
113,region alatnya inter gabisa dipairing
114,excellent service. well 👍
115,"barang tiba dengan selamat, seller fast respon dan ramah. ekspedisi JNE agak bikin rumit"
116,"mantap, gede juga ya ternyata"
117,"Barang sesuai yaa, mendarat dengan selamat"
118,"pengiriman cepet bgt, kondisi barang aman terkendali"
119,"Sesuai deskripsi, seller ramah + gercep, paking sangat aman, bery recommended seller, maaf telat review..."
120,"Mantabb sesuai ekspektasi, kyk biasanya doss emg manteb"
121,"packing aman dan rapi, pokonya gausah ragu sama doss untuk pembelian online kebutuhan kalian"
122,"mantap, berfungsi dengan baik, mungkin saya yang kurang teliti, ternyata dikirim dari luar jawa, makanya kok mahal ongkirnya."
123,BEST
124,"respon cepat, pengiriman cepat barang bagus original manteeep"
125,"So good, pengiriman cepat"
126,"bass nya keren, rada susah di pairin nya aja"
127,Pengiriman sy ambil next day. Datangnya 3 hari kemudian seperti pengiriman regular.
128,Selalu oke berbelanja di sini. Memorynya berfungsi dengan baik dan harga so so lah. Good!
129,"mantap sekali, joss gandoss, rekomended"
130,"Respon Chat yang super cepet, untuk proses brang pun super cepet, kualitas barang, gak usah di ragukan lagiii"
131,"Hollyland Lark M2 Combo: Mikrofon wireless compact dengan audio jernih, cocok untuk konten kreator. Jarak hingga 100 meter, daya tahan baterai 8 jam, dan dilengkapi charg... "
132,"Kualitas barangnya bagus, custom shortcutnya bisa masuk banyak juga, ukurannya pun pas ditangan jadi nyaman buat megangnya, dan untuk installasinya mudah, cukup install d... "
133,Mantap barang sesuai
134,Pengiriman cepat dan barang dikirim lengkap. Bahkan dapat bonus battery dan kaos. Sudah di test dan berfungsi normal
135,sesuai walau belom di coba
136,Langsung di kirim same day. Barang ori dan packing aman.
137,sangat berfungsi dengan baik
138,"terimakasih , pesan pagi lansung dikirim siang besoknya udah sampai"
139,"pelayanan doss gaperlu diragukan ✨ unit amannn👍"
140,"Akhirnya kebeli juga ini barang setelah 2 tahun make kakaknya. Kalo mau beli photo dan video equipment, DOSS udah paling oke lah, mulai dari kualitas produknya, garansi... "
141,"packing aman, peralatan lengkap, dicoba jernih, dicoba dg suara pelan tapi kedengeran. Buat yang baru beli harus buru2 aktifasi garansi setelah ini lihat di kartu garansi"
142,barang oke dan berfungsi dengan baik.
143,"yak, mantap"
144,Mantab… pelayanan juara!!
145,"pengiriman aman, dobel plastik, bubble wrap tebal.barang sesuai gambar"
146,"mantapp, seller fast respond dan sangat recommended oldebes 👍👍"
147,"mantapp, seller fast respond dan sangat recommended oldebes 👍👍"
148,"Sellernya sangat baik dan responsif, barangnya juga kokoh dan gampang dipake, Udah coba dipakek untuk charge 3 device sekaligus kencang dan sesuai sama claimnya 👍"
149,Barang bagus. Barang datang langsung unboxing dan tes langsung. Berjalan dengan baik dan lancar
150,"ini adalah webcam yang sangat jernih, hasil gambarnya gk lebay. suara mic dan kualitas ai sangat baguss sehingga gk bisa berkata2. ini merupakan webcam terbaik saat ini,... "
151,"Toko Terbaik... Proses cepat... Manyala abangku...🔥🔥🔥"
152,"pelayanan toko ⭐⭐⭐⭐⭐ kualitas barang ⭐⭐⭐⭐⭐"
153,Barang nyampe sesuai pesanan dan responnya bagus serta bnyak bonusnya👍👍👍
154,Berfungsi dengan baik dan cahayanya cakep
155,mantap sesuai recommendation ori 100% penguriman vepat
156,Barangnya sangat sesuai ekspektasi. Sekali colok ke HP langsung berfungsi.
157,"sejauh ini baru buka, material bahannya cukup oke kok dengan seharga ini. udah 11/12 sama G*d*x. Kalo light powernya nanti perlu dibandingin dulu sama merk sebelah. Katanya si... "
158,"Pelayanan DOSS selalu terbaik…🙏 Staf yang ramah serta sangat membantu dalam memjelaskan detail produk yang ditanyakan"
159,"pembelian yang ke 3, sangat memuaskan dan pengiriman yang cepat. 🙏"
160,Mantap. Memang paling lengkap. Selalu puas belanja disini
161,"Tiba dengan selamat dan cepat, rekomended seller, puas dengan pelayanan🤩"
162,kualitas bagus dan admin responsif. terbaik😍
163,kualitas bagus dan admin responsif. 😍
164,barang mantap semoga awet. terimakasih doss
165,"Barang sesuai deskripsi. Beneran memang ada harga ada rupa. Beda sama magic arm merek lain, magic arm ini begitu kekunci (tanpa harus ngunci sampai ngeluarin tenaga besar... "
166,mudah diaktifkan
167,"penjual sangat membantu, respon cepat, memberikan saran apa saja yang saya perlukan, sampai malam pun masih aktif, pengiriman cepat, aman packing bagus...rekomen seller d... "
168,so far so good
169,PELAYANAN THE BEST DAN BANYAK PROMO DISKONNYA
170,Kereennn
171,sesuai dengan deskripsi dan diterima dalam keadaan baik
172,"Mantap pengiriman cepat, barang oke banget, mimin responsif"
173,Harga termurah untuk tipe ini. Sudah dapat grid juga.
174,barang bagus dan pelayanan cepat. makasiii seller
175,DISKON TOKONYA MUANTAP
176,Respon dan penanganan problem dari DOSS sangat baik dan dapat dipercaya
177,"Pengiriman cepat, aman, sat set pokoknya, dapet special promo juga jadi harga nya paling murah se-Tokped, Toppp deh belanja di doss"
178,"Bagus, belom dicoba tapi semoga cocok🙏"
179,"sepertinya ini original dan masih tahap percobaan , semoga awet dan bandel"
180,Barang sesuai deskripsi. Recommended seller!!!
181,"Mantap barang sampai dengan aman, dan kualitas barang bagus banget, berfungsi dengan baik, semoga awet, thnks admin 🙏"
182,"Klo pas promo, harga DOSS tidak ada lawan, udah paling murah, CS nya enak diajak diskusi, barangnya top banget... Barang NEW bergaransi resmi, harga second, top deh...."
183,Terimakasih banyak yaaaaa
184,barang yang diterima sesuai dengan yang dipesan.... semoga awet... terimakasih
185,"kamera ke 3 beli di doss, selalu aman, pembelian kali ini di kasih bonus charger, semoga kameranya awet dan kalau upgrade lagi nanti yakin bakal ambil lagi dari doss :)"
186,"Barang sampai dengan aman, packinging sangar rapi dan adminya ramah sekali."
187,Cepat. Build Quality Oke. Mantap.
188,"Mancappp.Cepet satset"
189,cleaner berfungsi dengan baik. mantaaap 👍👍
190,"Barang sih oke, original, sempat ragu sama packing tipis banget, kemasan tak cacat sih, semoga awet deh"
191,"cepat sampenya, barang berfungsi normal pas di cek tadi, aman sih, packingnya aman 👍🏻👍🏻"
192,Pelayabab baik kalau kualitas Canon dah pada tau lah yah
193,"packingnya aman, rapi barang juga bagus aman dan rapi"
194,"komunatif sellernya, gercep, rekomendes...."
195,"Barang bagus, bisa ambil langsung di toko, harga kompetitif, top markotop"
196,barang bagus sesuai deskripsi..packing aman..mantap
197,"led lightny bagus buat harganya , lampuny terang dan mantap buat foto, packingny premium dan oke bgt warna warninya"
198,Nice…cuma masih bingung mslh garansi
199,"mantap, pengiriman cepat"
200,Terbaik…. Pokonya ….
201,"barang diterima dengan selamat, kualitas oke lah, cukup cepat walaupun bukan yang tercepat,  tapi sudah cukup bagi saya"
202,"mantap sih.Ga pernah kecewa belanja di doss. Dari pelayanan sama qualitas barang tetap terbaik. Admin nya jg super sabar dalam melayani pertanyaan-pertanyaan pelanggan"
203,mantap
204,barang paling top kalau dari toko doss 🔥😎
205,"Oke banget, tapi sayang dusnya penyok”"
206,Pembelian dilakukan langsung di toko tapi bayarnya bisa melalui online shop. Jadi merasa terlindungi.
207,Selalu puas belanja di sini. Emang TOP!
208,MANTAAAAP!
209,Mantap. Semoga awet dan dapat digunakan sesuai ekspektasi. Thank you.
210,sesuai jadwal dan barangnya sesuai juga 👍
211,"Pengalaman pertama beli Kamera baru! Customer Service DOSS di Tokped kece sih! Gercep dan membantu di setiap responnya. Perihal barang, ada sedikit drama di ekspedisi bu... "
212,bekerja dengan baik di strava andorid dan jam amazfit trex 2
213,Akhirnya punya filter HdanY juga 😅💪 Beli dari toko langganan yang sudah tak perlu diragukan; baik belanja online maupun saat offline 👍
214,Transfer data dari CFEXPRESS Exascend Vigor cepat
215,"Tidak diragukan lagi,doss selalu amanah🤩 rekomended buat semuanya klo mau nyari kamera,sellernya ramah buanget dan expedisinya juga best,komplit dah pokoknya👌"
216,Packing nya aman dan rapih
217,"DOSS TOP!!!,Beberapa kali belanja,Pelayanan Bagus Banget, Barang Berkualitas ."
218,"Good product as always 👌 Pengiriman juga cepat 👌"
219,"sambil di charge dulu, da ciba nyala juga lumayan lah. untuk harganya bagus. packing kiriman aman, dr Doss gak di ragukan lagi"
