0,"Pelayanan ramah, baguss barangnya puaass"
1,JUARA
2,pengemasan sangat rapih dan tebal respon CS cepat.Alhamdulillah tidak mengecewakan sudah beli beberapa produk dari doss
3,"top dosss, performa oke, packing oke"
4,selalu puas dan tenang belanja di doss mantap
5,"Kualitas barang bagus, harga sangat kompetitif. pengiriman cepat dan aman. tim CS responsif. Semoga barang awet"
6,"Terima kasih kak, keren ini inovasinya, semoga awet"
7,Barang bagus dan sesuai deskripsi berfungsi dengan baik
8,belum kepasang jatoh dan ilang wkwk
9,"mendarat dengan selamat, packingnya top buat pengiriman barang elektronik"
10,"Sesuai deskripsi, seller responsif"
11,pelayanan cepat..barang kualitas bagus
12,Kualitas ga di ragukan lagi sih Kemarin file terhapus tapi di backup pakai software asli sony memory file rescue kembali secara utuh banget. Nice highly recomended banget
13,Mantap good seller
14,Keren. Micnya berfungsi dengan baik. Penggunaan mudah
15,Bisa dapet kamera unik satu ini dengan garansi top dari DOSS. Sangat memuaskan!
16,mantappp barangnya ori dan segel.. 🤘🏽
17,"Cakep desain strap PGYTech, dan mudah dioperasikan utk memperpanjang atau memperpendek strap ketika dipakai."
18,"Terima kasih, barang new garansi resmi ya."
19,Mantap
20,"Packing oke, barang cepat sampai, dan berfungsi dengan baik"
21,"Ga dapet batre, sesuai deskripsi, venusliv2"
22,"keren.. seller fast respon , barang bagus , packing aman. cocok buat yang suka bermain cahaya warna warni"
23,Penjual gercep pengiriman cepat
24,"Barang sesuai, admin oke"
25,"barang nya oke nih, reseller gercep… trs berdungsi dengan baik. terima kasih, sekarang sdh nggak bingung bawa2 micro sd/SD CARD dan dapat tambahan drive buat run aplikasi"
26,Kamera Canon yang keren dan lengkap
27,"dibantu oleh mas Dani dan mas Feri dalam pembelian kameranya, sangat friendly dan profesional, thank you! Akhirnya my dream pocket camera sudah di tangan 🥰"
28,"build qualitya oke banget, compartemenya juga luas, asik buat EDC camera bag. soal pelayanan toko udah gk usah di raguin lagi, best of the best 🤝"
29,"paking selalu aman dan profesional, terimakasih semoga awet selalu"
30,"bagus pengiriman cepat, selalu pengalaman terbaik belanja di doss"
31,benda wajib untuk para hybrid👌🏻
32,Terbaik memang ❤️❤️❤️❤️
33,garansi 14 hari ganti baru bukan gimmick. adminnya sangat responsif. after salesnya juga bagus banget. sangat bisa diandalkan. thankyou banget doss! next beli kamera lagi.
