original_index,review,sentiment
1,"Pelayanan ramah, baguss barangnya puaass",satisfied
2,JUARA,satisfied
3,pengemasan sangat rapih dan tebal respon CS cepat.Alhamdulillah tidak mengecewakan sudah beli beberapa produk dari doss,satisfied
4,"top dosss, performa oke, packing oke",satisfied
5,selalu puas dan tenang belanja di doss mantap,satisfied
6,"Kualitas barang bagus, harga sangat kompetitif. pengiriman cepat dan aman. tim CS responsif. Semoga barang awet",satisfied
7,"Terima kasih kak, keren ini inovasinya, semoga awet",satisfied
8,Barang bagus dan sesuai deskripsi berfungsi dengan baik,satisfied
9,belum kepasang jatoh dan ilang wkwk,dissapointed
10,"mendarat dengan selamat, packingnya top buat pengiriman barang elektronik",satisfied
11,"Sesuai deskripsi, seller responsif",satisfied
12,pelayanan cepat..barang kualitas bagus,satisfied
13,Kualitas ga di ragukan lagi sih Kemarin file terhapus tapi di backup pakai software asli sony memory file rescue kembali secara utuh banget. Nice highly recomended banget,satisfied
14,Mantap good seller,satisfied
15,Keren. Micnya berfungsi dengan baik. Penggunaan mudah,satisfied
16,Bisa dapet kamera unik satu ini dengan garansi top dari DOSS. Sangat memuaskan!,satisfied
17,mantappp barangnya ori dan segel.. 🤘🏽,satisfied
18,"Cakep desain strap PGYTech, dan mudah dioperasikan utk memperpanjang atau memperpendek strap ketika dipakai.",satisfied
19,"Terima kasih, barang new garansi resmi ya.",satisfied
20,Mantap,satisfied
21,"Packing oke, barang cepat sampai, dan berfungsi dengan baik",satisfied
22,"Ga dapet batre, sesuai deskripsi, venusliv2",neutral
23,"keren.. seller fast respon , barang bagus , packing aman. cocok buat yang suka bermain cahaya warna warni",satisfied
24,Penjual gercep pengiriman cepat,satisfied
25,"Barang sesuai, admin oke",satisfied
26,"barang nya oke nih, reseller gercep… trs berdungsi dengan baik. terima kasih, sekarang sdh nggak bingung bawa2 micro sd/SD CARD dan dapat tambahan drive buat run aplikasi",satisfied
27,Kamera Canon yang keren dan lengkap,satisfied
28,"dibantu oleh mas Dani dan mas Feri dalam pembelian kameranya, sangat friendly dan profesional, thank you! Akhirnya my dream pocket camera sudah di tangan 🥰",satisfied
29,"build qualitya oke banget, compartemenya juga luas, asik buat EDC camera bag. soal pelayanan toko udah gk usah di raguin lagi, best of the best 🤝",satisfied
30,"paking selalu aman dan profesional, terimakasih semoga awet selalu",satisfied
31,"bagus pengiriman cepat, selalu pengalaman terbaik belanja di doss",satisfied
32,benda wajib untuk para hybrid👌🏻,satisfied
33,Terbaik memang ❤️❤️❤️❤️,satisfied
34,garansi 14 hari ganti baru bukan gimmick. adminnya sangat responsif. after salesnya juga bagus banget. sangat bisa diandalkan. thankyou banget doss! next beli kamera lagi.,satisfied
35,"Cepat bagus, dan micnya luar biasa suaranya",satisfied
36,puas banget,satisfied
37,pengiriman di bungkus dengan rapi dan respon sangat cepat,satisfied
38,Terimakasih barang sudah nyampe dan sesuai pesanan.,satisfied
39,Puas,satisfied
40,"Kualitas sesuai, seller fast respond",satisfied
41,"Barang sesuai gambar,hasil memuaskan dan pengiriman juga cepat",satisfied
42,Seller sangat responsif dan memberikan penjelasan ttg product sangat rinci dan memuaskan.Sehingga pengalaman berbelanja menjadi lebih menyenangkan untuk admin yang menghan...,satisfied
43,"Barang original sesuai deskripsi, seller responsif, pengiriman cepat, paking rapi aman, harga paling oke. Mantaf. Ditunggu kiriman free giiftnya, 👍👍👍",satisfied
44,Bagus mantap,satisfied
45,"pengiriman sangat cepat, packingan rapih dan yang paling senangnya dapat SD card Lexar pulak",satisfied
46,kereen cakeeep.terima kasih banyak ya min.,satisfied
47,"walaupun ada sedikit drama, tapi saya suka akhir ceritanya.makasih buat doss, semoga semakin maju dan pelayanan jd jauh lebih baik.barangnya suka, bagus, berfungsi normal ",satisfied
48,barang bagus dan mantap,satisfied
49,"barang sampai sesuai pesanan, bagus, bisa langsung digunakan, terimakasih",satisfied
50,"Barangnya oke. Pengirimannya yang agak lama. Hampir nggak kebawa, jadi harus buru-buru ngejar pesawat ke bandara. Semoga lain kali lebih baik.",neutral
51,"FAST respon, pelayanan ramah.",satisfied
52,"Barang cepat sampai, aman, dan berfungsi dengan baik",satisfied
53,"Pokoke marem lah asal belanja neng doss, ora tau kecewa, pelayanane be apik",satisfied
54,Kereeeeeen,satisfied
55,barang sesuai deskripsi.. seller fast respon.. recomended,satisfied
56,cepat dan baik,satisfied
57,Aman packagingnya 👍,satisfied
58,sesuai deskripsi dan cepat sampai.,satisfied
59,"Barang sampai dengan selamat,  hasil gambar Jernih sekali,Pelayanan sangat terbaik 🤩",satisfied
60,Batrenya nyusul katanya,neutral
61,dos emang keren di tambah dapet memori card ga di foto barang lupa ada di kantor,satisfied
62,gokil sih. nggak nyangka bakal terang banget. buat harga segini sih oke punya,satisfied
63,terima kasih. barang dipacking aman. berfungsi baik,satisfied
64,barang cepat sampai. berfungsi baik. terima kasih,satisfied
65,"Packing aman dan respon penjual sangat bagus untuk diskusi sebelum membeli barangnya. Ditunggu freean Battery nya ya min, DOSS TERBAIK...",satisfied
66,"Nice banget, audio clear. Aksesoris lengkap",satisfied
67,"sudah langganan beli disini, barang bagus sesuai deskripsi. semoga awet",satisfied
68,Mantap. Hasil memuaskan,satisfied
69,"Mantap, kabelnya jos. Yang pasti pelayanannya TOP MARKOTOP.Karena akan dipakai segera dan pengiriman terkendala. Akhirnya dikirim gosend instan tanpa tambahan biaya.Mak... ",satisfied
70,Semoga awet yak.,neutral
71,"Barang selamat sampai tujuan, packing cukup aman",satisfied
